,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
0,CH Morris,6.42812,4.98469,11.41281
1,Rashid Khan,5.80000,5.57784,11.37784
2,MF Maharoof,5.58854,5.77360,11.36214
3,SP Narine,5.03021,5.81840,10.84861
4,KK Cooper,5.45834,5.33256,10.79090
5,Mohammad Nabi,5.71250,5.04129,10.75379
6,AJ Tye,5.15313,5.41156,10.56469
7,M Morkel,5.66458,4.80189,10.46647
8,Washington Sundar,6.11771,4.30543,10.42314
9,A Ashish Reddy,5.72083,4.66747,10.38830
10,J Archer,5.47083,4.85260,10.32343
11,M Ali,5.75313,4.38563,10.13876
12,KH Pandya,5.66563,4.40332,10.06895
13,JA Morkel,5.59584,4.42335,10.01919
14,HV Patel,5.94792,4.03893,9.98685
15,Harbhajan Singh,4.81250,5.07313,9.88563
16,Bipul Sharma,6.35417,3.51062,9.86479
17,R Tewatia,5.05521,4.78068,9.83589
18,BJ Hodge,3.94167,5.78539,9.72706
19,Ankit Sharma,5.85521,3.71935,9.57456
20,AD Russell,5.34583,4.18161,9.52744
21,HH Pandya,6.09062,3.42100,9.51162
22,N Rana,3.95313,5.48940,9.44253
23,JP Faulkner,5.05313,4.27475,9.32788
24,DJ Bravo,4.40729,4.83019,9.23748
25,S Gopal,3.33750,5.80072,9.13822
26,YK Pathan,5.28125,3.85261,9.13386
27,MJ McClenaghan,4.32292,4.72878,9.05170
28,KA Pollard,5.21250,3.77477,8.98727
29,RN ten Doeschate,5.36979,3.53421,8.90400
30,KP Pietersen,4.63750,4.17808,8.81558
31,K Gowtham,6.13646,2.64860,8.78506
32,WPUJC Vaas,3.25521,5.52241,8.77762
33,P Negi,3.99896,4.63798,8.63694
34,RJ Harris,3.17188,5.45637,8.62825
35,SR Watson,4.38021,4.22643,8.60664
36,AD Mascarenhas,2.26979,6.30544,8.57523
37,Shakib Al Hasan,3.88855,4.62737,8.51592
38,Azhar Mahmood,3.38229,5.11912,8.50141
39,B Akhil,5.20209,3.23821,8.44030
40,RG Sharma,4.00521,4.41392,8.41913
41,CR Brathwaite,4.57084,3.84554,8.41638
42,RA Jadeja,3.85000,4.50826,8.35826
43,BCJ Cutting,5.85938,2.49647,8.35585
44,MR Marsh,2.57500,5.77950,8.35450
45,AR Patel,4.11458,4.21580,8.33038
46,R Bhatia,3.70312,4.52714,8.23026
47,STR Binny,4.45729,3.75002,8.20731
48,NM Coulter-Nile,2.32188,5.83844,8.16032
49,KV Sharma,3.20000,4.83963,8.03963
50,SL Malinga,1.83229,6.19339,8.02568
51,Yuvraj Singh,3.53230,4.46816,8.00046
52,SK Raina,4.62916,3.36558,7.99474
53,MP Stoinis,4.90417,3.06014,7.96431
54,MC Henriques,4.37709,3.54364,7.92073
55,NLTC Perera,4.47083,3.42690,7.89773
56,B Kumar,2.31875,5.57429,7.89304
57,GJ Maxwell,4.90938,2.96463,7.87401
58,JP Duminy,4.00729,3.85496,7.86225
59,RE van der Merwe,2.53542,5.31132,7.84674
60,A Symonds,4.19271,3.63445,7.82716
61,DW Steyn,2.65312,5.13916,7.79228
62,MS Gony,4.61563,3.17336,7.78899
63,A Mishra,2.23438,5.54128,7.77566
64,MA Starc,1.80521,5.96698,7.77219
65,ST Jayasuriya,3.77292,3.99411,7.76703
66,R Ashwin,2.84479,4.84789,7.69268
67,BA Stokes,4.24062,3.44931,7.68993
68,Iqbal Abdulla,2.97396,4.69105,7.66501
69,C de Grandhomme,5.36355,2.23586,7.59941
70,MM Patel,1.87708,5.70873,7.58581
71,DR Smith,3.83541,3.73704,7.57245
72,CH Gayle,4.36666,3.17808,7.54474
73,A Kumble,1.72812,5.78774,7.51586
74,B Lee,4.11667,3.38563,7.50230
75,RS Bopara,2.95938,4.48940,7.44878
76,V Sehwag,4.47292,2.97525,7.44817
77,S Aravind,2.12187,5.31250,7.43437
78,DT Christian,3.52291,3.88327,7.40618
79,PP Chawla,2.78542,4.61675,7.40217
80,TG Southee,4.88229,2.50945,7.39174
81,IK Pathan,3.67812,3.70638,7.38450
82,MM Sharma,2.74479,4.60260,7.34739
83,R Vinay Kumar,3.08854,4.24529,7.33383
84,JJ Bumrah,2.71666,4.58138,7.29804
85,PC Valthaty,2.50938,4.69459,7.20397
86,R Dhawan,3.62709,3.54836,7.17545
87,JEC Franklin,2.59167,4.57430,7.16597
88,J Botha,3.07084,4.09199,7.16283
89,Sandeep Sharma,1.67604,5.47288,7.14892
90,SK Warne,1.80312,5.27713,7.08025
91,DL Vettori,2.90416,4.16510,7.06926
92,JR Hopes,4.34792,2.71700,7.06492
93,V Shankar,5.08230,1.97525,7.05755
94,DJG Sammy,3.11563,3.93514,7.05077
95,MG Johnson,2.59896,4.38916,6.98812
96,AD Mathews,3.83750,3.14859,6.98609
97,JD Ryder,3.66355,3.23586,6.89941
98,A Nehra,1.68438,5.20047,6.88485
99,JD Unadkat,2.61563,4.26180,6.87743
100,M Kartik,3.36667,3.43043,6.79710
101,YS Chahal,1.59896,5.19459,6.79355
102,CR Woakes,2.28333,4.47761,6.76094
103,DS Kulkarni,2.42708,4.33137,6.75845
104,DJ Hooda,4.03125,2.64506,6.67631
105,RP Singh,1.72084,4.95047,6.67131
106,,0.00000,6.64623,6.64623
107,L Balaji,1.60937,4.97995,6.58932
108,R Sharma,1.74687,4.82667,6.57354
109,V Kohli,4.18646,2.36676,6.55322
110,TL Suman,2.91875,3.61322,6.53197
111,AB Agarkar,3.63021,2.82549,6.45570
112,Z Khan,1.78855,4.64860,6.43715
113,PP Ojha,1.46354,4.93044,6.39398
114,LR Shukla,2.52396,3.85733,6.38129
115,AM Nayar,3.04480,3.29836,6.34316
116,UT Yadav,2.34167,3.97643,6.31810
117,,0.00000,6.30072,6.30072
118,,0.00000,6.29482,6.29482
119,P Kumar,2.63021,3.51063,6.14084
120,,0.00000,6.09316,6.09316
121,SK Trivedi,1.61667,4.44458,6.06125
122,,0.00000,5.98704,5.98704
123,WD Parnell,1.28750,4.68987,5.97737
124,CJ Anderson,3.58021,2.32784,5.90805
125,SB Styris,2.05417,3.77006,5.82423
126,,0.00000,5.81841,5.81841
127,AB de Villiers,5.72500,0.00000,5.72500
128,SN Khan,5.72292,0.00000,5.72292
129,S Sreesanth,1.64687,4.05425,5.70112
130,J Bairstow,5.69376,0.00000,5.69376
131,DJ Hussey,3.45313,2.17454,5.62767
132,,0.00000,5.61086,5.61086
133,,0.00000,5.53420,5.53420
134,RR Pant,5.49479,0.00000,5.49479
135,AB Dinda,1.37292,4.11085,5.48377
136,,0.00000,5.47524,5.47524
137,MS Dhoni,5.47500,0.00000,5.47500
138,,0.00000,5.46817,5.46817
139,JH Kallis,1.95521,3.46228,5.41749
140,R Sathish,3.42916,1.98350,5.41266
141,VR Aaron,1.94479,3.46110,5.40589
142,S Gill,5.37188,0.00000,5.37188
143,MN Samuels,1.41251,3.94105,5.35356
144,,0.00000,5.31487,5.31487
145,I Sharma,2.07917,3.23467,5.31384
146,DA Miller,5.26563,0.00000,5.26563
147,JC Buttler,5.24584,0.00000,5.24584
148,TM Head,5.23958,0.00000,5.23958
149,,0.00000,5.19106,5.19106
150,AL Menaria,2.01875,3.15450,5.17325
151,Mohammed Shami,2.38541,2.72997,5.11538
152,,0.00000,5.09672,5.09672
153,TM Dilshan,2.40625,2.63209,5.03834
154,,0.00000,5.01652,5.01652
155,KL Rahul,5.00417,0.00000,5.00417
156,,0.00000,4.99058,4.99058
157,,0.00000,4.91982,4.91982
158,Y Venugopal Rao,2.70833,2.18044,4.88877
159,DA Warner,4.88229,0.00000,4.88229
160,PJ Sangwan,1.53958,3.32783,4.86741
161,,0.00000,4.86322,4.86322
162,,0.00000,4.86203,4.86203
163,,0.00000,4.85614,4.85614
164,,0.00000,4.85260,4.85260
165,,0.00000,4.84671,4.84671
166,HM Amla,4.84376,0.00000,4.84376
167,KS Williamson,4.82917,0.00000,4.82917
168,,0.00000,4.79246,4.79246
169,,0.00000,4.78303,4.78303
170,RA Tripathi,4.77501,0.00000,4.77501
171,,0.00000,4.76888,4.76888
172,,0.00000,4.72879,4.72879
173,SC Ganguly,1.36458,3.36085,4.72543
174,,0.00000,4.71935,4.71935
175,,0.00000,4.68279,4.68279
176,,0.00000,4.62147,4.62147
177,OA Shah,4.58021,0.00000,4.58021
178,,0.00000,4.58020,4.58020
179,P Shaw,4.56771,0.00000,4.56771
180,S Nadeem,0.94375,3.59082,4.53457
181,,0.00000,4.52950,4.52950
182,SA Yadav,4.51979,0.00000,4.51979
183,,0.00000,4.48469,4.48469
184,,0.00000,4.47878,4.47878
185,JDP Oram,1.68855,2.77477,4.46332
186,WP Saha,4.39480,0.00000,4.39480
187,R McLaren,2.01355,2.37855,4.39210
188,Sachin Baby,4.38542,0.00000,4.38542
189,CA Lynn,4.36146,0.00000,4.36146
190,,0.00000,4.35260,4.35260
191,MJ Lumb,4.34896,0.00000,4.34896
192,KD Karthik,4.32708,0.00000,4.32708
193,MV Boucher,4.30105,0.00000,4.30105
194,KM Jadhav,4.28021,0.00000,4.28021
195,,0.00000,4.25473,4.25473
196,SPD Smith,4.24687,0.00000,4.24687
197,,0.00000,4.19576,4.19576
198,MJ Guptill,4.19167,0.00000,4.19167
199,,0.00000,4.18632,4.18632
200,AS Yadav,4.17917,0.00000,4.17917
201,,0.00000,4.16628,4.16628
202,SV Samson,4.16354,0.00000,4.16354
203,,0.00000,4.16157,4.16157
204,SW Billings,4.13438,0.00000,4.13438
205,CL White,4.08854,0.00000,4.08854
206,,0.00000,4.04836,4.04836
207,,0.00000,4.00944,4.00944
208,ML Hayden,3.98542,0.00000,3.98542
209,AA Jhunjhunwala,1.76354,2.21935,3.98289
210,E Lewis,3.97916,0.00000,3.97916
211,DH Yagnik,3.97396,0.00000,3.97396
212,Q de Kock,3.96146,0.00000,3.96146
213,SE Marsh,3.96146,0.00000,3.96146
214,,0.00000,3.90331,3.90331
215,,0.00000,3.87972,3.87972
216,LA Pomersbach,3.87084,0.00000,3.87084
217,,0.00000,3.82902,3.82902
218,F du Plessis,3.82813,0.00000,3.82813
219,,0.00000,3.82784,3.82784
220,,0.00000,3.81841,3.81841
221,RV Uthappa,3.80000,0.00000,3.80000
222,AT Rayudu,3.79062,0.00000,3.79062
223,,0.00000,3.77596,3.77596
224,SM Katich,3.77396,0.00000,3.77396
225,Gurkeerat Singh,3.75938,0.00000,3.75938
226,Mandeep Singh,3.75625,0.00000,3.75625
227,AC Gilchrist,3.72292,0.00000,3.72292
228,,0.00000,3.71464,3.71464
229,KK Nair,3.67083,0.00000,3.67083
230,Ishan Kishan,3.65313,0.00000,3.65313
231,,0.00000,3.63445,3.63445
232,AJ Finch,3.61459,0.00000,3.61459
233,,0.00000,3.60968,3.60968
234,LRPL Taylor,3.60208,0.00000,3.60208
235,GJ Bailey,3.59896,0.00000,3.59896
236,M Vohra,3.58542,0.00000,3.58542
237,C Munro,3.56563,0.00000,3.56563
238,SS Iyer,3.56563,0.00000,3.56563
239,,0.00000,3.53656,3.53656
240,,0.00000,3.53303,3.53303
241,,0.00000,3.51535,3.51535
242,N Saini,0.66354,2.84907,3.51261
243,S Dhawan,3.48126,0.00000,3.48126
244,,0.00000,3.45992,3.45992
245,AS Raut,3.41667,0.00000,3.41667
246,BB McCullum,3.41146,0.00000,3.41146
247,DB Das,3.38437,0.00000,3.38437
248,DPMD Jayawardene,3.31667,0.00000,3.31667
249,SS Tiwary,3.31042,0.00000,3.31042
250,MK Pandey,3.28229,0.00000,3.28229
251,,0.00000,3.22407,3.22407
252,MA Agarwal,3.18854,0.00000,3.18854
253,AM Rahane,3.18750,0.00000,3.18750
254,G Gambhir,3.17917,0.00000,3.17917
255,S Badrinath,3.17605,0.00000,3.17605
256,,0.00000,3.16510,3.16510
257,,0.00000,3.16393,3.16393
258,MEK Hussey,3.16354,0.00000,3.16354
259,,0.00000,3.14388,3.14388
260,MK Tiwary,3.14167,0.00000,3.14167
261,LMP Simmons,3.13229,0.00000,3.13229
262,,0.00000,3.12619,3.12619
263,C Ingram,3.07396,0.00000,3.07396
264,,0.00000,3.05897,3.05897
265,,0.00000,3.05425,3.05425
266,DB Ravi Teja,3.04688,0.00000,3.04688
267,M Vijay,2.98646,0.00000,2.98646
268,EJG Morgan,2.91042,0.00000,2.91042
269,S Anirudha,2.89583,0.00000,2.89583
270,NV Ojha,2.85521,0.00000,2.85521
271,M Manhas,2.85417,0.00000,2.85417
272,AP Tare,2.81980,0.00000,2.81980
273,SA Asnodkar,2.80730,0.00000,2.80730
274,PA Patel,2.73646,0.00000,2.73646
275,,0.00000,2.68515,2.68515
276,S Sohal,2.68333,0.00000,2.68333
277,KC Sangakkara,2.68125,0.00000,2.68125
278,,0.00000,2.67926,2.67926
279,,0.00000,2.61793,2.61793
280,,0.00000,2.61557,2.61557
281,B Chipli,2.60729,0.00000,2.60729
282,,0.00000,2.56486,2.56486
283,SR Tendulkar,2.54792,0.00000,2.54792
284,,0.00000,2.53656,2.53656
285,,0.00000,2.51770,2.51770
286,SP Fleming,2.50104,0.00000,2.50104
287,Y Nagar,2.48854,0.00000,2.48854
288,CM Gautam,2.48125,0.00000,2.48125
289,,0.00000,2.47761,2.47761
290,,0.00000,2.46227,2.46227
291,,0.00000,2.45519,2.45519
292,,0.00000,2.41039,2.41039
293,R Dravid,2.26459,0.00000,2.26459
294,MD Mishra,2.20313,0.00000,2.20313
295,,0.00000,2.08492,2.08492
296,YV Takawale,2.08333,0.00000,2.08333
297,M Kaif,2.06771,0.00000,2.06771
298,VVS Laxman,1.99271,0.00000,1.99271
299,P Dogra,1.97083,0.00000,1.97083
300,HH Gibbs,1.87813,0.00000,1.87813
301,M Rawat,1.87709,0.00000,1.87709
302,FY Fazal,1.87396,0.00000,1.87396
303,MS Bisla,1.86459,0.00000,1.86459
304,GC Smith,1.85208,0.00000,1.85208
305,CA Pujara,1.45000,0.00000,1.45000
306,SP Goswami,1.45000,0.00000,1.45000
307,GH Vihari,1.44271,0.00000,1.44271
308,PA Reddy,1.33437,0.00000,1.33437
309,K Goel,1.21875,0.00000,1.21875
310,UBT Chand,0.94688,0.00000,0.94688
311,AD Nath,0.93750,0.00000,0.93750
